price_usd,Name,ISD link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence
824.7,Hugel &amp; Fils Gentil Alsace,https://www.i-d-s.com/dubai/2020-chateu-palmer-alter-ego-de-palmer-fw1283.html,france,/FR/en/hugel-gentil/w/5106?year=2023&amp;price_id=38005949,3.8,Gentil 2023,-,France,Alsace,83,34
13.6,Whispering Angel Provence Rosé Magnum (1.5L),https://www.i-d-s.com/dubai/hugel-fils-gentil-alsace-fr1421.html,france,/FR/en/chateau-d-esclans-whispering-angel-rose/w/1104824?year=2024&amp;price_id=38562080,4,Whispering Angel Rosé 2024,-,France,Côtes de Provence,470,63
54.95,2009 Dom Ruinart Rose,https://www.i-d-s.com/dubai/whispering-angel-provence-ros-magnum-1-5l-fr1245.html,france,/FR/en/chateau-d-esclans-whispering-angel-rose/w/1104824?year=2009&amp;price_id=39052476,3.8,Whispering Angel Rosé 2009,-,France,Côtes de Provence,45,34
399,Domaine Desvignes Givry Rouge 1er Cru `Crémillons`,https://www.i-d-s.com/dubai/2009-dom-ruinart-rose-cp1067.html,france,/FR/en/joblot-servoisine-givry-1er-cru-rouge/w/1128392?year=2009&amp;price_id=32067324,4.1,Servoisine Givry 1er Cru Rouge 2009,-,France,Givry 1er Cru 'Servoisine',138,54
49.05,Chateau des Gravieres Blanc,https://www.i-d-s.com/dubai/domaine-desvignes-givry-rouge-1er-cru-cr-millons-fr1338.html,france,/FR/en/chateau-de-la-cree-santenay-premier-cru-gravieres-blanc/w/1971922?year=2009&amp;price_id=39324083,4.3,Santenay Premier Cru 'Gravières' Blanc 2009,-,France,Santenay 1er Cru 'Les Gravières',45,60
52.9,"Fleur Haut Bages, Pauillac",https://www.i-d-s.com/dubai/fleur-haut-bages-pauillac-fr1342.html,france,/FR/en/fr-chateau-haut-bages-liberal-pauillac-grand-cru-classe/w/79269?year=2009&amp;price_id=37930362,4.1,Pauillac (Grand Cru Classé) 2009,-,France,Pauillac,1219,28
131.3,Louis Latour Pommard 1er Cru Epenots,https://www.i-d-s.com/dubai/louis-latour-pommard-1er-cru-epenots-fr1388.html,france,/FR/en/chateau-d-esclans-whispering-angel-rose/w/1104824?year=2009&amp;price_id=39052476,3.8,Whispering Angel Rosé 2009,-,France,Côtes de Provence,45,32
35.35,Louis Latour Chablis,https://www.i-d-s.com/dubai/louis-latour-chablis-fr1382.html,france,/FR/en/chateau-d-esclans-whispering-angel-rose/w/1104824?year=2009&amp;price_id=39052476,3.8,Whispering Angel Rosé 2009,-,France,Côtes de Provence,45,30
65.65,Louis Latour Pouilly Fuisse 1er Cru,https://www.i-d-s.com/dubai/louis-latour-pouilly-fuisse-1er-cru-fr1384.html,france,/FR/en/louis-chavy-pouilly-fuisse-1er-cru-pouilly-fuisse/w/10293964,4,Pouilly-Fuissé 1er Cru,-,France,Pouilly-Fuissé,11358,70
143.4,Louis Latour Meursault-Blagny 1er Cru Château de Blagny ,https://www.i-d-s.com/dubai/louis-latour-meursault-blagny-1er-cru-ch-teau-de-blagny-fr1387.html,france,/FR/en/louis-latour-meursault-blagny-premier-cru-chateau-de-blagny/w/7316?year=2020&amp;price_id=36543772,4.3,Meursault-Blagny Premier Cru Château de Blagny 2020,-,France,Meursault 1er Cru 'Blagny',119,79
115,Ayala Blanc de Blanc,https://www.i-d-s.com/dubai/ayala-blanc-de-blanc-cp1070.html,france,/FR/en/louis-latour-meursault-blagny-premier-cru-chateau-de-blagny/w/7316?year=2020&amp;price_id=36543772,4.3,Meursault-Blagny Premier Cru Château de Blagny 2020,-,France,Meursault 1er Cru 'Blagny',119,42
400,2013 Pol Roger Sir Winston Churchill ,https://www.i-d-s.com/dubai/2013-pol-roger-sir-winston-churchill-cp1069.html,france,/FR/en/louis-latour-meursault-blagny-premier-cru-chateau-de-blagny/w/7316?year=2020&amp;price_id=36543772,4.3,Meursault-Blagny Premier Cru Château de Blagny 2020,-,France,Meursault 1er Cru 'Blagny',119,30
