,Unnamed: 0,0,1,2,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,ratio
41,5,56.55,Mumm Grand Cordon,https://www.i-d-s.com/dubai/mumm-grand-cordon-cp4026.html,france,https://www.vivino.com/FR/en/wines/1915404,4.0,G.H. Mumm Grand Cordon Brut Champagne 0,—,france,champagne,11762,5
42,6,700.90,"2020 Sarget D Gruaud Larose, Saint-Julien",https://www.i-d-s.com/dubai/2020-sarget-d-gruaud-larose-saint-julien-fw1220.html,france,https://www.vivino.com/FR/en/wines/1532644,4.0,Château Gruaud Larose Sarget de Gruaud Larose Saint-Julien 0,—,france,saint-julien,18391,3
43,7,23.30,"Les Hauts de Perganson, Haut-Medoc, Bordeaux",https://www.i-d-s.com/dubai/les-hauts-de-perganson-haut-medoc-bordeaux-fr1334.html,france,https://www.vivino.com/FR/en/wines/4963190,4.0,Château Larose Perganson Les Hauts de Perganson Haut-Médoc 0,—,france,haut-medoc,422,3
44,8,17.20,"M.Chapoutier, Rasteau "" Les Gadilles""",https://www.i-d-s.com/dubai/m-chapoutier-rasteau-fr1281.html,france,https://www.vivino.com/FR/en/wines/169803930,3.7,M. Chapoutier Les Gadilles Rasteau 0,—,france,rasteau,332,10
45,9,31.15,Remoissenet Père &amp; Fils Chablis,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-chablis-fr4426.html,france,https://www.vivino.com/FR/en/wines/12629909,3.7,Remoissenet Père \u0026 Fils Chablis Amiral Vernon 0,—,france,chablis,466,0
46,10,12.95,"M.Chapoutier, Côtes-du-Rhône Blanc Adunatio, Collection Bio",https://www.i-d-s.com/dubai/m-chapoutier-c-tes-du-rh-ne-blanc-collection-bio-fr1271.html,france,https://www.vivino.com/FR/en/wines/171186730,3.6,M. Chapoutier Adunatio La Collection Bio Côtes-du-Rhône Blanc 0,—,france,cotes-du-rhone,89,3
47,11,33.00,Vranken Brut Nature VDC with Gift Box,https://www.i-d-s.com/dubai/vranken-brut-nature-vdc-with-gift-box-cp4019.html,france,https://www.vivino.com/FR/en/wines/155582683,3.7,Vranken Brut Nature Champagne 0,38.90,france,champagne,702,6
48,0,11.10,Les Terres du Roy Côtes-du-Rhône Rouge,https://www.i-d-s.com/dubai/les-terres-du-roy-c-tes-du-rh-ne-rouge-fr1340.html,france,https://www.vivino.com/FR/en/wines/4992792,3.3,Les Celliers des Terres de France Cuvée Réservée Côtes-du-Rhône Rouge 0,—,france,cotes-du-rhone,465,3
49,1,72.00,Veuve Clicquot Yellow Label Brut,https://www.i-d-s.com/dubai/veuve-clicquot-yellow-label-brut-cp1016.html,france,https://www.vivino.com/FR/en/wines/164942636,4.3,Veuve Clicquot Brut (Carte Jaune) Champagne 0,—,france,champagne,138557,4
50,2,63.80,Moët &amp; Chandon Brut Impérial,https://www.i-d-s.com/dubai/mo-t-chandon-brut-imp-rial-cp1011.html,france,https://www.vivino.com/FR/en/wines/164942645,4.1,Moët \u0026 Chandon Impérial Brut Champagne 0,—,france,champagne,131880,8
51,3,10.15,"M.Chapoutier, Costières-de-Nîmes, Collection Bio “Areca” &amp; “Rouge”",https://www.i-d-s.com/dubai/m-chapoutier-costi-res-de-n-mes-collection-bio-fr1280.html,france,https://www.vivino.com/FR/en/wines/162514462,3.4,Lidl Costières-de-Nîmes Rouge 0,—,france,costieres-de-nimes,1312,6
52,4,12.55,Château des Antonins Bordeaux Blanc,https://www.i-d-s.com/dubai/ch-teau-des-antonins-bordeaux-blanc-fr1351.html,france,https://www.vivino.com/FR/en/wines/4007135,3.8,Château des Antonins Bordeaux Blanc 0,—,france,bordeaux,278,0
53,5,43.85,Maison Antoine Geoffroy Pouilly Fuisse,https://www.i-d-s.com/dubai/maison-antoine-geoffroy-pouilly-fuisse-fr1315.html,france,https://www.vivino.com/FR/en/wines/4885590,3.7,La Maison Bleue Charmoise Pouilly-Fuissé 0,—,france,pouilly-fuisse,299,0
