,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price_bucket,confidence bucket
5,62.2,Taittinger Brut Réserve,https://www.i-d-s.com/dubai/taittinger-brut-r-serve-cp1010.html,france,https://www.vivino.com/FR/en/wines/164942648,4.2,Taittinger Brut (Réserve) Champagne 0,"47,00",france,champagne,50292,77,60 - 70 USD,80
6,70.1,Louis Roederer Brut Premier,https://www.i-d-s.com/dubai/louis-roederer-brut-premier-cp2042.html,france,https://www.vivino.com/FR/en/wines/164942778,4.2,Louis Roederer Brut Premier Champagne 0,"75,01",france,champagne-premier-cru,54271,82,70 - 80 USD,90
7,77.7,"Domaine Ott Rosé, Château Romassan",https://www.i-d-s.com/dubai/domaine-ott-ros-ch-teau-romassan-fr1017.html,france,https://www.vivino.com/FR/en/wines/1477082,4.2,Domaines Ott Château Romassan Rosé (Coeur de Grain) 0,"36,90",france,bandol,7159,64,70 - 80 USD,70
8,25.3,Chateau Lange Réglat,https://www.i-d-s.com/dubai/chateau-lange-r-glat-dw1010.html,france,https://www.vivino.com/FR/en/wines/3717744,4.2,Vignobles Bernard Reglat Château Lange-Réglat Sauternes 0,"265,00",france,sauternes,1336,47,20 - 30 USD,50
9,44.05,"Chateau Le Coteau Cuvée Graveline, Margaux",https://www.i-d-s.com/dubai/chateau-le-coteau-cuv-e-graveline-margaux-fr1233.html,france,https://www.vivino.com/FR/en/wines/164489570,4.2,Château Le Coteau Cuvée Graveline Margaux 0,—,france,margaux,272,94,40 - 50 USD,100
10,81.95,Domaine Chanson Nuits Saint Georges,https://www.i-d-s.com/dubai/domaine-chanson-nuits-saint-georges-fr1079.html,france,https://www.vivino.com/FR/en/wines/3339313,4.2,Domaine Faiveley Nuits-Saint-Georges 0,"62,40",france,nuits-saint-georges,3752,74,80 - 90 USD,80
11,33.75,Catena Alta Cabernet Sauvignon,https://www.i-d-s.com/dubai/catena-alta-cabernet-sauvignon-ag4031.html,argentina,https://www.vivino.com/FR/en/wines/155776850,4.2,Catena Alta Cabernet Sauvignon 0,"39,00",argentina,mendoza,9714,97,30 - 40 USD,100
0,18.75,"Mitolo, `GAM` Shiraz",https://www.i-d-s.com/dubai/mitolo-gam-shiraz-au4071.html,australia,https://www.vivino.com/FR/en/wines/1662304,4.2,Mitolo G.A.M. Shiraz 0,"36,15",australia,mclaren-vale,4728,81,10 - 20 USD,90
1,28.45,Jane Eyre Mornington Peninsula Pinot Noir,https://www.i-d-s.com/dubai/jane-eyre-mornington-peninsula-pinot-noir-au4046.html,australia,https://www.vivino.com/FR/en/wines/5005145,4.2,Jane Eyre Pinot Noir 0,—,australia,mornington-peninsula,191,63,20 - 30 USD,70
2,84.35,"Penfolds Bin 389 Cabernet/Shiraz, 2019",https://www.i-d-s.com/dubai/penfolds-bin-389-cabernet-shiraz-2019-au1138.html,australia,https://www.vivino.com/FR/en/wines/159319932,4.2,Penfolds Bin 389 Cabernet - Shiraz 2019 2019,"85,00",australia,south-australia,1868,88,80 - 90 USD,90
3,41.35,"Jim Barry Macrae Shiraz, McRae Wood",https://www.i-d-s.com/dubai/jim-barry-macrae-shiraz-mcrae-wood-au1144.html,australia,https://www.vivino.com/FR/en/wines/2559395,4.2,Jim Barry The McRae Wood Shiraz 0,—,australia,clare-valley,4644,68,40 - 50 USD,70
4,42.05,d'Arenberg Dead Arm Shiraz,https://www.i-d-s.com/dubai/d-arenberg-dead-arm-shiraz-au1163.html,australia,https://www.vivino.com/FR/en/wines/1744600,4.2,d'Arenberg The Dead Arm Shiraz 0,"55,00",australia,mclaren-vale,17911,90,40 - 50 USD,90
5,40.11,Dawson James Chardonnay,https://www.i-d-s.com/dubai/dawson-james-chardonnay-au4069.html,australia,https://www.vivino.com/FR/en/wines/5020073,4.2,Dawson James Chardonnay 0,—,australia,tasmania,223,96,40 - 50 USD,100
