prix,name,country,vivino_url,vivino_rating
33.3,Keith Tulloch Kester Shiraz ,australia,https://www.vivino.com/FR/en/wines/4872140,4.3
77,"Tenuta Argiano, Brunello di Montalcino ",italy,https://www.vivino.com/FR/en/wines/1482363,4.3
15.85,Allegrini Valpolicella DOC,italy,https://www.vivino.com/FR/en/wines/1723424,4.3
85.7,Allegrini Amarone della Valpolicella Classico DOCG,italy,https://www.vivino.com/FR/en/wines/1723424,4.3
10.6,Martín Codax Cuatro Pasos Mencia,spain,https://www.vivino.com/FR/en/wines/153104759,4.3
49,Remoissenet Chablis 1er Cru Fourchaume,france,https://www.vivino.com/FR/en/wines/143338047,4.2
32.78,Château Mont-Redon Châteauneuf-du-Pape Rouge,france,https://www.vivino.com/FR/en/wines/141143040,4.2
52.65,Perrier-Jouët Grand Brut,france,https://www.vivino.com/FR/en/wines/164942675,4.2
75.7,Beau Joie Brut Champagne ,france,https://www.vivino.com/FR/en/wines/1882223,4.2
9209.2,"2008 Château Calon Segur, 3ème Cru Classé, Saint-Estèphe",france,https://www.vivino.com/FR/en/wines/1513288,4.2
75.55,Remoissenet Meursault Blanc,france,https://www.vivino.com/FR/en/wines/4912805,4.2
62.2,Taittinger Brut Réserve,france,https://www.vivino.com/FR/en/wines/164942648,4.2
43.8,"Domaine Ott Rosé, Château Romassan",france,https://www.vivino.com/FR/en/wines/1477082,4.2
67.9,Moët &amp; Chandon Ice Imperial,france,https://www.vivino.com/FR/en/wines/1469048,4.2
43.25,"Chateau Le Coteau Cuvée Graveline, Margaux",france,https://www.vivino.com/FR/en/wines/164489570,4.2
89.55,David Moret Meursault “Sous La Velle”,france,https://www.vivino.com/FR/en/wines/38206140,4.2
81.25,Domaine Chanson Nuits Saint Georges,france,https://www.vivino.com/FR/en/wines/3339313,4.2
41.3,Catena Alta Cabernet Sauvignon,argentina,https://www.vivino.com/FR/en/wines/155776850,4.2
63.35,Dawson James Chardonnay,australia,https://www.vivino.com/FR/en/wines/5020073,4.2
84.1,Dawson James Pinot Noir,australia,https://www.vivino.com/FR/en/wines/5020075,4.2
64.45,"Burn Cottage Vineyard, Pinot Noir Central Otago",new_zealand,https://www.vivino.com/FR/en/wines/4422435,4.2
56.95,"Nyetimber Classic Cuvee Multi-Vintage,",uk,https://www.vivino.com/FR/en/wines/2093215,4.2
63.05,Nyetimber Blanc de Blancs,uk,https://www.vivino.com/FR/en/wines/1548463,4.2
27.75,Byron Nielson Vineyard Chardonnay,usa,https://www.vivino.com/FR/en/wines/157535316,4.2
44.3,Batlhasar Ress Rudesheim Berg Rottland Riesling Auslese,germany,https://www.vivino.com/FR/en/wines/159803431,4.2
36.95,Montresor Amarone della Valpolicella 'Satinato',italy,https://www.vivino.com/FR/en/wines/1485123,4.2
73.3,"Brunello Di Montalcino, San Polo, Tuscany",italy,https://www.vivino.com/FR/en/wines/1498551,4.2
51.25,Ossian Viñas Viejas Vedejo,spain,https://www.vivino.com/FR/en/wines/156349542,4.2
55,"Shaya Habis Verdejo , Rueda",spain,https://www.vivino.com/FR/en/wines/1607355,4.2
56.95,"Nyetimber Classic Cuvee Multi-Vintage,",rest-of-the-world,https://www.vivino.com/FR/en/wines/2093215,4.2
21.55,Ktima Gerovassiliou Malagousia,rest-of-the-world,https://www.vivino.com/FR/en/wines/4883522,4.2
62.05,Moët &amp; Chandon Brut Impérial,france,https://www.vivino.com/FR/en/wines/164942645,4.1
29.05,"Les Cadrans de Lassègue Saint-Emilion, Grand Cru",france,https://www.vivino.com/FR/en/wines/1891545,4.1
45.85,"Chateau Marzy, Pomerol",france,https://www.vivino.com/FR/en/wines/4184852,4.1
17.35,"""La Côte Sauvage"" Cairanne",france,https://www.vivino.com/FR/en/wines/2210035,4.1
55.95,"Domanie Laroche, Chablis 1er Cru ‘Les Vaillons’ Vieilles Vignes",france,https://www.vivino.com/FR/en/wines/4873148,4.1
48.4,Cave De Tain 'Les Arènes Sauvages'&nbsp;Cornas,france,https://www.vivino.com/FR/en/wines/4432867,4.1
20.25,"Château Fabre Gasparets, Corbières-Boutenac [Organic]",france,https://www.vivino.com/FR/en/wines/4869384,4.1
39.6,Château Enclos Haut-Mazeyres,france,https://www.vivino.com/FR/en/wines/5026097,4.1
3195.344,"2016 Château Gloria, Saint Julien",france,https://www.vivino.com/FR/en/wines/1558095,4.1
70.9,La Chablisienne Chablis Grand Cru Les Clos,france,https://www.vivino.com/FR/en/wines/2083545,4.1
68.8,Moët &amp; Chandon Brut Impérial Rosé,france,https://www.vivino.com/FR/en/wines/164943024,4.1
26.65,"Domaine Heimbourger Les Terres Blanches, Chablis",france,https://www.vivino.com/FR/en/wines/166736899,4.1
59.05,Laurent-Perrier Brut,france,https://www.vivino.com/FR/en/wines/164943434,4.1
90.45,"Chassagne-Montrachet `Vieilles Vignes`, Domaine Borgeot, Burgundy",france,https://www.vivino.com/FR/en/wines/2880531,4.1
41.15,Domaine Maratray Dubreuil Savigny les Beaune 1er Cru Les Vergelesses,france,https://www.vivino.com/FR/en/wines/1808417,4.1
47.1,"Domaine Olivier Hillaire, Chateauneuf du Pape",france,https://www.vivino.com/FR/en/wines/4738566,4.1
55.15,"Domaine Faury, Condrieu",france,https://www.vivino.com/FR/en/wines/1470718,4.1
99.9,Remoissenet Chablis Grand Cru Les Clos,france,https://www.vivino.com/FR/en/wines/4278527,4.1
30.05,Whispering Angel Rosé,france,https://www.vivino.com/FR/en/wines/1473981,4.1
89.2,"Château Minuty ""281"" Rosé",france,https://www.vivino.com/FR/en/wines/1473981,4.1
20.1,"Chateau La Picherie Les Marronniers, Montagne Saint-Emilion",france,https://www.vivino.com/FR/en/wines/160340616,4.1
31,"Chateau Gravet Renaissance, Grand Cru Saint-Emilion",france,https://www.vivino.com/FR/en/wines/1664353,4.1
39.9,"Chateau Gravet Grande Rennaissance , Grand Cru Saint-Emilion",france,https://www.vivino.com/FR/en/wines/4776163,4.1
31,Château Vieux Guinot La Petite Chapelle Saint-Emilion Grand Cru,france,https://www.vivino.com/FR/en/wines/155818729,4.1
35.75,Chateau Lange Réglat,france,https://www.vivino.com/FR/en/wines/3717744,4.1
56.05,"Chateau Durfort-Vivens,'Vivens', Margaux",france,https://www.vivino.com/FR/en/wines/3837090,4.1
55.15,"Gevrey Chambertin , Vallet Frères",france,https://www.vivino.com/FR/en/wines/1943415,4.1
24.55,Domaine Chanson Morgon,france,https://www.vivino.com/FR/en/wines/1942378,4.1
30.5,Catena Alta Chardonnay,argentina,https://www.vivino.com/FR/en/wines/1489764,4.1
19.6,Catena Appellation Vista Flores Malbec,argentina,https://www.vivino.com/FR/en/wines/2078546,4.1
24.85,Grant Burge Wines of Distinction The Holy Trinity Shiraz Grenache Mourvedre,australia,https://www.vivino.com/FR/en/wines/2917815,4.1
28.7,St Hallett Blackwell Shiraz,australia,https://www.vivino.com/FR/en/wines/2478362,4.1
44,Giant Steps `Primavera Vineyard' Yarra Valley Pinot Noir,australia,https://www.vivino.com/FR/en/wines/151764682,4.1
23.97,Loveblock Marlborough Sauvignon Blanc ,new_zealand,https://www.vivino.com/FR/en/wines/2583580,4.1
