price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price_bucket,confidence bucket
36.45,"Château Tour de Capet Saint-Émilion Grand Cru, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-tour-de-capet-saint-milion-grand-cru-bordeaux-fr1335.html,france,https://www.vivino.com/FR/en/wines/3670448,3.9,Château Tour de Capet Saint-Émilion Grand Cru 0,70,france,st-emilion-grand-cru,3376,90,30 - 40 USD,90
28.05,"Château Patache d'Aux Médoc Cru Bourgeois, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-patache-d-aux-m-doc-cru-bourgeois-bordeaux-fr1333.html,france,https://www.vivino.com/FR/en/wines/2522751,0,Château Moulis en Médoc Grande Reserve Cru Bourgeois Vin de Bordeaux 0,—,france,moulis-en-medoc,10151,63,20 - 30 USD,70
179.99,Domaine Chanson Corton Vergennes Grand Gru ,https://www.i-d-s.com/dubai/domaine-chanson-corton-vergennes-grand-gru-fr1353.html,france,https://www.vivino.com/FR/en/wines/1861339,4.2,Domaine Chanson Corton Grand Cru 'Les Vergennes' Blanc 0,171.25,france,corton-les-vergennes,435,73,>100 USD,80
23.25,Chateau Lamarsalle Montagne Saint-Emilion,https://www.i-d-s.com/dubai/chateau-lamarsalle-montagne-saint-emilion-fr1372.html,france,https://www.vivino.com/FR/en/wines/4837727,3.8,Despagne-Rapin Château Lamarsalle Montagne-Saint-Emilion 0,—,france,montagne-saint-emilion,1803,79,20 - 30 USD,80
461.55,"2020  Château Beychevelle ""Amiral De Beychevelle"" Saint-Julien",https://www.i-d-s.com/dubai/2020-ch-teau-beychevelle-amiral-de-beychevelle-saint-julien-fw1226.html,france,https://www.vivino.com/FR/en/wines/1674282,4.1,Château Beychevelle Amiral de Beychevelle Saint-Julien 0,53.5,france,saint-julien,9699,92,>100 USD,100
78.20,La Chablisienne Chablis Grand Cru Les Clos,https://www.i-d-s.com/dubai/la-chablisienne-chablis-grand-cru-les-clos-fr1157.html,france,https://www.vivino.com/FR/en/wines/2083545,4.1,La Chablisienne Chablis Grand Cru 'Les Clos' 0,68,france,chablis-grand-cru-les-clos,451,95,70 - 80 USD,100
39.55,Pouilly Fume Les Cris Domaine Cailbourdin,https://www.i-d-s.com/dubai/pouilly-fume-les-cris-domaine-cailbourdin-fr1361.html,france,https://www.vivino.com/FR/en/wines/1470230,3.9,Domaine A Cailbourdin Les Cris Pouilly-Fumé 0,—,france,pouilly-fume,2827,44,30 - 40 USD,50
671.15,Cristal Roederer Brut 2009 Magnum,https://www.i-d-s.com/dubai/cristal-roederer-brut-2009-magnum-cp4028.html,france,https://www.vivino.com/FR/en/wines/1496773,4.6,Louis Roederer Cristal Brut Champagne (Millésimé) 0,350,france,champagne,48593,52,>100 USD,60
92.50,Bollinger Special Cuvée Brut,https://www.i-d-s.com/dubai/bollinger-special-cuv-e-brut-cp1071.html,france,https://www.vivino.com/FR/en/wines/164942597,4.3,Bollinger Special Cuvée Brut Aÿ Champagne 0,—,france,champagne,68330,79,90 - 100 USD,80
445.40,"Fleur de Miraval, Rosé Champagne",https://www.i-d-s.com/dubai/fleur-de-miraval-ros-champagne-cp1030.html,france,https://www.vivino.com/FR/en/wines/165713784,4.4,Miraval Fleur de Miraval Exclusivement Rosé Champagne 0,334,france,champagne,538,71,>100 USD,80
2837.60,"2016 Château Smith Haut Lafitte Rouge, Pessac -Leognan",https://www.i-d-s.com/dubai/2016-ch-teau-smith-haut-lafitte-rouge-pessac-leognan-fw1187.html,france,https://www.vivino.com/FR/en/wines/1961868,4.3,Château Smith Haut-Lafitte Pessac-Léognan (Grand Cru Classé) 0,94,france,pessac-leognan,29952,67,>100 USD,70
11.50,"Baron Philippe de Rothschild, Mouton Cadet Mathilde Rose BIO",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mouton-cadet-mathilde-rose-bio-fr1357.html,france,https://www.vivino.com/FR/en/wines/165005748,0,Baron Philippe de Rothschild La Bélière Bio Rosé 0,8.95,france,vin-de-pays-doc,1051,69,10 - 20 USD,70
262.85,"Chateau Tour De Mons, Margaux",https://www.i-d-s.com/dubai/chateau-tour-de-mons-margaux-fw1222.html,france,https://www.vivino.com/FR/en/wines/1483045,4,Château La Tour de Mons Margaux 0,—,france,margaux,12148,87,>100 USD,90
766.25,2020 Château&nbsp;Les Ormes De Pez Cru Bourgeois Saint Estephe,https://www.i-d-s.com/dubai/2020-ch-teau-les-ormes-de-pez-cru-bourgeois-saint-estephe-fw1218.html,france,https://www.vivino.com/FR/en/wines/2096768,4,Château Ormes de Pez Saint-Estèphe 0,35.7,france,saint-estephe,19796,65,>100 USD,70
56.55,Mumm Grand Cordon,https://www.i-d-s.com/dubai/mumm-grand-cordon-cp4026.html,france,https://www.vivino.com/FR/en/wines/1915404,4,G.H. Mumm Grand Cordon Brut Champagne 0,—,france,champagne,11762,61,50 - 60 USD,70
700.90,"2020 Sarget D Gruaud Larose, Saint-Julien",https://www.i-d-s.com/dubai/2020-sarget-d-gruaud-larose-saint-julien-fw1220.html,france,https://www.vivino.com/FR/en/wines/1532644,4,Château Gruaud Larose Sarget de Gruaud Larose Saint-Julien 0,—,france,saint-julien,18391,71,>100 USD,80
23.30,"Les Hauts de Perganson, Haut-Medoc, Bordeaux",https://www.i-d-s.com/dubai/les-hauts-de-perganson-haut-medoc-bordeaux-fr1334.html,france,https://www.vivino.com/FR/en/wines/4963190,4,Château Larose Perganson Les Hauts de Perganson Haut-Médoc 0,—,france,haut-medoc,422,63,20 - 30 USD,70
17.20,"M.Chapoutier, Rasteau "" Les Gadilles""",https://www.i-d-s.com/dubai/m-chapoutier-rasteau-fr1281.html,france,https://www.vivino.com/FR/en/wines/169803930,3.7,M. Chapoutier Les Gadilles Rasteau 0,—,france,rasteau,332,68,10 - 20 USD,70
31.15,Remoissenet Père &amp; Fils Chablis,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-chablis-fr4426.html,france,https://www.vivino.com/FR/en/wines/12629909,3.7,Remoissenet Père \u0026 Fils Chablis Amiral Vernon 0,—,france,chablis,466,69,30 - 40 USD,70
12.95,"M.Chapoutier, Côtes-du-Rhône Blanc Adunatio, Collection Bio",https://www.i-d-s.com/dubai/m-chapoutier-c-tes-du-rh-ne-blanc-collection-bio-fr1271.html,france,https://www.vivino.com/FR/en/wines/171186730,3.6,M. Chapoutier Adunatio La Collection Bio Côtes-du-Rhône Blanc 0,—,france,cotes-du-rhone,89,59,10 - 20 USD,60
33.00,Vranken Brut Nature VDC with Gift Box,https://www.i-d-s.com/dubai/vranken-brut-nature-vdc-with-gift-box-cp4019.html,france,https://www.vivino.com/FR/en/wines/155582683,3.7,Vranken Brut Nature Champagne 0,38.9,france,champagne,702,71,30 - 40 USD,80
11.10,Les Terres du Roy Côtes-du-Rhône Rouge,https://www.i-d-s.com/dubai/les-terres-du-roy-c-tes-du-rh-ne-rouge-fr1340.html,france,https://www.vivino.com/FR/en/wines/4992792,3.3,Les Celliers des Terres de France Cuvée Réservée Côtes-du-Rhône Rouge 0,—,france,cotes-du-rhone,465,66,10 - 20 USD,70
72.00,Veuve Clicquot Yellow Label Brut,https://www.i-d-s.com/dubai/veuve-clicquot-yellow-label-brut-cp1016.html,france,https://www.vivino.com/FR/en/wines/164942636,4.3,Veuve Clicquot Brut (Carte Jaune) Champagne 0,—,france,champagne,138557,52,70 - 80 USD,60
63.80,Moët &amp; Chandon Brut Impérial,https://www.i-d-s.com/dubai/mo-t-chandon-brut-imp-rial-cp1011.html,france,https://www.vivino.com/FR/en/wines/164942645,4.1,Moët \u0026 Chandon Impérial Brut Champagne 0,—,france,champagne,131880,57,60 - 70 USD,60
10.15,"M.Chapoutier, Costières-de-Nîmes, Collection Bio “Areca” &amp; “Rouge”",https://www.i-d-s.com/dubai/m-chapoutier-costi-res-de-n-mes-collection-bio-fr1280.html,france,https://www.vivino.com/FR/en/wines/162514462,3.4,Lidl Costières-de-Nîmes Rouge 0,—,france,costieres-de-nimes,1312,51,10 - 20 USD,60
12.55,Château des Antonins Bordeaux Blanc,https://www.i-d-s.com/dubai/ch-teau-des-antonins-bordeaux-blanc-fr1351.html,france,https://www.vivino.com/FR/en/wines/4007135,3.8,Château des Antonins Bordeaux Blanc 0,—,france,bordeaux,278,97,10 - 20 USD,100
43.85,Maison Antoine Geoffroy Pouilly Fuisse,https://www.i-d-s.com/dubai/maison-antoine-geoffroy-pouilly-fuisse-fr1315.html,france,https://www.vivino.com/FR/en/wines/4885590,3.7,La Maison Bleue Charmoise Pouilly-Fuissé 0,—,france,pouilly-fuisse,299,60,40 - 50 USD,60
33.65,"Domaine du Pré Semelé Sancerre Rouge, Pinot Noir Non Filtré",https://www.i-d-s.com/dubai/domaine-du-pr-semel-sancerre-rouge-pinot-noir-non-filtr-fr1323.html,france,https://www.vivino.com/FR/en/wines/3131479,4,Domaine du Pré Semelé (Julien \u0026 Clément Raimbault) Sancerre Rouge 0,30.9,france,sancerre,1529,56,30 - 40 USD,60
31.95,"Clos de la Cure, Saint-Émilion Grand Cru",https://www.i-d-s.com/dubai/clos-de-la-cure-saint-milion-grand-cru-fr1318.html,france,https://www.vivino.com/FR/en/wines/1751787,4,Clos de la Cure Saint-Émilion Grand Cru 0,29.5,france,st-emilion-grand-cru,2521,96,30 - 40 USD,100
20.85,"Château Calvimont Blanc, Graves",https://www.i-d-s.com/dubai/ch-teau-calvimont-blanc-graves-fr1317.html,france,https://www.vivino.com/FR/en/wines/150602910,4,Château Calvimont Graves Blanc 0,—,france,graves,1046,76,20 - 30 USD,80
12.20,Famille Perrin Luberon Rosé,https://www.i-d-s.com/dubai/famille-perrin-luberon-ros-fr1331.html,france,https://www.vivino.com/FR/en/wines/4986675,3.6,Famille Perrin Eléphant Rosé 0,—,france,luberon,1510,77,10 - 20 USD,80
8.70,"Les Vignes de L'Eglise Merlot/Grenache IGP, Côtes de Thau, Languedoc",https://www.i-d-s.com/dubai/les-vignes-de-l-eglise-merlot-grenache-igp-c-tes-de-thau-languedoc-fr1329.html,france,https://www.vivino.com/FR/en/wines/155468060,3.6,Les Costières de Pomerols Beauvignac Côtes de Thau Vieilles Vignes Merlot 0,—,france,cotes-de-thau,281,55,0 - 10 USD,60
10.05,"Baron de Badassière Syrah IGP Côtes de Thau, Languedoc",https://www.i-d-s.com/dubai/baron-de-badassi-re-syrah-igp-c-tes-de-thau-languedoc-fr1328.html,france,https://www.vivino.com/FR/en/wines/4528234,3.8,Les Costières de Pomerols Baron de Badassière Carignan 0,—,france,cotes-de-thau,240,45,10 - 20 USD,50
10.75,"Les Caves de Richemer Chardonnay IGP, Languedoc",https://www.i-d-s.com/dubai/les-caves-de-richemer-chardonnay-igp-languedoc-fr1327.html,france,https://www.vivino.com/FR/en/wines/24929163,0,Les Caves de Saint Georges - Le Chevalier Georges Chardonnay 0,—,france,languedoc-roussillon,4743,57,10 - 20 USD,60
4123.00,"2015 Château Pichon Comtesse Lalande, Grand Cru Classe, Pauillac",https://www.i-d-s.com/dubai/2015-ch-teau-pichon-comtesse-lalande-grand-cru-classe-pauillac-fw1795.html,france,https://www.vivino.com/FR/en/wines/1491165,4.4,Château Pichon Longueville Comtesse de Lalande Pauillac (Grand Cru Classé) 0,229.12,france,pauillac,44835,69,>100 USD,70
793.80,"2016 Château Talbot 4ème Cru Classé, Saint-Julien",https://www.i-d-s.com/dubai/2016-ch-teau-talbot-4-me-cru-class-saint-julien-fw1175.html,france,https://www.vivino.com/FR/en/wines/1540417,4.2,Château Talbot Saint-Julien (Grand Cru Classé) 0,—,france,saint-julien,50649,58,>100 USD,60
183.95,"Maison Antoine Geoffroy, Beaune, Puligny Montrachet 1Er Cru Les Combettes",https://www.i-d-s.com/dubai/maison-antoine-geoffroy-beaune-puligny-montrachet-1er-cru-les-combettes-fr1307.html,france,https://www.vivino.com/FR/en/wines/174845339,0,Antoine Geoffroy Puligny-Montrachet 1er Cru 'Les Combettes' 0,—,france,puligny-montrachet-les-combettes,91,84,>100 USD,90
54.50,Remoissenet Père &amp; Fils Savigny Les Beaune 1er Cru Aux Serpentières,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-savigny-les-beaune-1er-cru-aux-serpenti-res-fr1298.html,france,https://www.vivino.com/FR/en/wines/161440594,4.1,Remoissenet Père \u0026 Fils Savigny-Lès-Beaune Premier Cru Les Guettes 0,-,-,-,-,71,50 - 60 USD,80
43.00,"Domaine Cailbourdin, Pouilly-Fumé Les Cris",https://www.i-d-s.com/dubai/domaine-cailbourdin-pouilly-fum-les-cris-fr1309.html,france,https://www.vivino.com/FR/en/wines/1470230,3.9,Domaine A Cailbourdin Les Cris Pouilly-Fumé 0,—,france,pouilly-fume,2827,76,40 - 50 USD,80
45.90,"Domaine Daniel-Etienne Defaix, Chablis Vieilles Vignes",https://www.i-d-s.com/dubai/domaine-daniel-etienne-defaix-chablis-vieilles-vignes-fr1305.html,france,-,-,-,-,-,-,-,4,40 - 50 USD,10
984.40,"2016 Château Duhart-Milon Rothschild, 4eme Cru Classé, Pauillac",https://www.i-d-s.com/dubai/2016-ch-teau-duhart-milon-rothschild-4eme-cru-class-pauillac-fw1202.html,france,https://www.vivino.com/FR/en/wines/1500807,4.3,Château Duhart-Milon Pauillac (Grand Cru Classé) 0,—,france,pauillac,23989,64,>100 USD,70
27.70,Schröder and Schÿler Margaux Private Selection,https://www.i-d-s.com/dubai/schr-der-and-sch-ler-margaux-private-selection-fr1299.html,france,https://www.vivino.com/FR/en/wines/4869718,3.9,Schröder \u0026 Schÿler Private Selection Margaux 0,—,france,margaux,213,72,20 - 30 USD,80
21.35,"JCB No. 21` Crémant de Bourgogne Brut, Jean-Charles Boisset",https://www.i-d-s.com/dubai/jcb-no-21-cr-mant-de-bourgogne-brut-jean-charles-boisset-sw1071.html,france,https://www.vivino.com/FR/en/wines/2170407,3.9,JCB (Jean-Charles Boisset) JCB No. 21 Brut (Burgundy) 0,—,france,cremant-de-bourgogne,1620,42,20 - 30 USD,50
59.05,"Miraval, Côtes de Provence Rosé, Magnum",https://www.i-d-s.com/dubai/miraval-c-tes-de-provence-ros-magnum-fr4423.html,france,https://www.vivino.com/FR/en/wines/8902172,4,Miraval Côtes de Provence Rosé 0,—,france,cotes-de-provence,55138,87,50 - 60 USD,90
82.30,Remoissenet Père &amp; Fils Pommard,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-pommard-fr4431.html,france,https://www.vivino.com/FR/en/wines/15869854,4.4,Remoissenet Père \u0026 Fils Pommard-Epenots Premier Cru 0,—,france,pommard-premier-cru,116,65,80 - 90 USD,70
52.25,Remoissenet Père &amp; Fils Chablis 1er Cru Fourchaume,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-chablis-1er-cru-fourchaume-fr4427.html,france,https://www.vivino.com/FR/en/wines/143338047,4.2,Remoissenet Père \u0026 Fils Chablis Premier Cru Fourchaume 0,—,france,chablis-premier-cru,461,83,50 - 60 USD,90
17.90,"Miraval, `Studio`Côtes de Provence Rosé",https://www.i-d-s.com/dubai/miraval-studio-c-tes-de-provence-ros-fr1287.html,france,https://www.vivino.com/FR/en/wines/159759902,3.8,Miraval Studio Rose 0,—,france,cotes-de-provence,13647,63,10 - 20 USD,70
56.70,Perrier-Jouët Grand Brut,https://www.i-d-s.com/dubai/perrier-jou-t-grand-brut-cp1003.html,france,https://www.vivino.com/FR/en/wines/164942675,4.2,Perrier-Jouët Grand Brut Champagne 0,51.7,france,champagne,47381,80,50 - 60 USD,80
45.75,Antoine Geoffroy Savigny Les Beaune ,https://www.i-d-s.com/dubai/savigny-les-beaune-antoine-geoffroy-fr4436.html,france,https://www.vivino.com/FR/en/wines/177284964,0,Antoine Geoffroy Vieilles Vignes Savigny-lès-Beaune 0,—,france,savigny-les-beaune,-,74,40 - 50 USD,80
14.75,"M.Chapoutier, Côtes-du-Rhône Rouge Adunation, Collection Bio",https://www.i-d-s.com/dubai/m-chapoutier-c-tes-du-rh-ne-rouge-collection-bio-fr1278.html,france,https://www.vivino.com/FR/en/wines/3095609,3.5,M. Chapoutier Côtes-du-Rhône Collection Bio 0,—,france,cotes-du-rhone,2384,80,10 - 20 USD,80
48.70,"M.Chapoutier, Châteauneuf-du-Pape, Collection Bio Rouge",https://www.i-d-s.com/dubai/m-chapoutier-ch-teauneuf-du-pape-collection-bio-rouge-fr1276.html,france,https://www.vivino.com/FR/en/wines/154656459,4,M. Chapoutier Châteauneuf-du-Pape Collection Bio 0,—,france,chateauneuf-du-pape,532,91,40 - 50 USD,100
12.40,"Marius, Avenue de la Gare Syrah, IGP Collines Rhodaniennes",https://www.i-d-s.com/dubai/marius-avenue-de-la-gare-syrah-igp-collines-rhodaniennes-fr1275.html,france,https://www.vivino.com/FR/en/wines/169451999,3.7,M. Chapoutier Marius Avenue de la Gare Syrah 0,—,france,igp-collines-rhodaniennes,67,60,10 - 20 USD,60
30.35,"M.Chapoutier, Saint-Joseph 'Deschants' Rouge",https://www.i-d-s.com/dubai/m-chapoutier-saint-joseph-deschants-rouge-fr1273.html,france,https://www.vivino.com/FR/en/wines/1497950,3.8,M. Chapoutier Saint-Joseph Deschants 0,24.14,france,saint-joseph,5458,88,30 - 40 USD,90
49.40,"M.Chapoutier, Châteauneuf-du-Pape 'La Bernardine' Blanc",https://www.i-d-s.com/dubai/m-chapoutier-ch-teauneuf-du-pape-la-bernardine-blanc-fr1272.html,france,https://www.vivino.com/FR/en/wines/1572945,4,M. Chapoutier Châteauneuf-du-Pape La Bernardine Blanc 0,—,france,chateauneuf-du-pape,1289,95,40 - 50 USD,100
12.15,"M.Chapoutier, 'Belleruche' Côtes-du-Rhône Blanc",https://www.i-d-s.com/dubai/m-chapoutier-belleruche-c-tes-du-rh-ne-blanc-fr1270.html,france,https://www.vivino.com/FR/en/wines/1472731,3.7,M. Chapoutier Belleruche Côtes-du-Rhône Blanc 0,—,france,cotes-du-rhone,10652,94,10 - 20 USD,100
10.70,"M.Chapoutier, Luberon 'La Ciboise' Blanc",https://www.i-d-s.com/dubai/m-chapoutier-luberon-la-ciboise-blanc-fr1269.html,france,https://www.vivino.com/FR/en/wines/2002648,3.5,M. Chapoutier Luberon La Ciboise Blanc 0,8.5,france,luberon,2622,92,10 - 20 USD,100
19.99,"M.Chapoutier, Saint-Péray 'Les Tanneurs'",https://www.i-d-s.com/dubai/m-chapoutier-saint-p-ray-les-tanneurs-fr1268.html,france,https://www.vivino.com/FR/en/wines/2859969,3.8,M. Chapoutier Saint-Péray Les Tanneurs 0,18.9,france,saint-peray,1040,92,10 - 20 USD,100
19.99,"M.Chapoutier, Saint-Joseph 'Deschants' Blanc",https://www.i-d-s.com/dubai/m-chapoutier-saint-joseph-deschants-blanc-fr1266.html,france,https://www.vivino.com/FR/en/wines/2947722,3.8,M. Chapoutier Saint-Joseph Deschants Blanc 0,—,france,saint-joseph,1432,93,10 - 20 USD,100
21.05,"Domaine Trénel, Viré Clessé Chardonnay, Vin de Bourgogne",https://www.i-d-s.com/dubai/domaine-tr-nel-vir-cless-chardonnay-vin-de-bourgogne-fr1261.html,france,https://www.vivino.com/FR/en/wines/144587348,4,Domaine de l'Epinet Gramont Chardonnay 0,—,france,vire-clesse,228,50,20 - 30 USD,50
