,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price bucket,confidence bucket
0,11.9,Baron Philippe de Rothschild' Mouton Cadet Blanc,https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mouton-cadet-blanc-fr1033.html,france,https://www.vivino.com/FR/en/wines/2665319,3.4,Baron Philippe de Rothschild Bordeaux Blanc 0,—,france,bordeaux,4101,82,less than 20 USD,90
1,16,Fishbone Blue Label Shiraz ,https://www.i-d-s.com/dubai/fishbone-blue-label-shiraz-au1164.html,australia,https://www.vivino.com/FR/en/wines/4975830,3.5,Fishbone Blue Label Shiraz - Cabernet 0,—,australia,western-australia,163,82,less than 20 USD,90
2,34.4,Plantagenet `Aquitaine` Mount Barker Cabernet Sauvignon,https://www.i-d-s.com/dubai/plantagenet-aquitaine-mount-barker-cabernet-sauvignon-au4007.html,australia,https://www.vivino.com/FR/en/wines/146881576,4,Plantagenet Aquitaine Cabernet Sauvignon 0,—,australia,mount-barker,301,82,less than 40 USD,90
3,13.7,Yering Station Village Shiraz,https://www.i-d-s.com/dubai/yering-station-village-shiraz-au1026.html,australia,https://www.vivino.com/FR/en/wines/5090940,3.7,Yering Station Village Shiraz - Viognier 0,—,australia,yarra-valley,583,82,less than 20 USD,90
4,13.2,"Spice Route Chenin Blanc, Swartland",https://www.i-d-s.com/dubai/spice-route-chenin-blanc-swartland-za4031.html,south_africa,https://www.vivino.com/FR/en/wines/2174371,3.6,Spice Route Chenin Blanc 0,—,south-africa,swartland,843,82,less than 20 USD,90
5,13.25,Coterie Semillon Sauvignon Blanc,https://www.i-d-s.com/dubai/coterie-semillon-sauvignon-blanc-za1069.html,south_africa,https://www.vivino.com/FR/en/wines/165622646,3.9,Wildeberg Coterie Semillon - Sauvignon Blanc 0,—,south-africa,coastal-region,272,82,less than 20 USD,90
6,32.35,Chapel Down Classic Non-Vintage Brut,https://www.i-d-s.com/dubai/chapel-down-classic-non-vintage-brut-sw1047.html,uk,https://www.vivino.com/FR/en/wines/153087394,4.1,Chapel Down Classic Brut (Non Vintage) 0,—,united-kingdom,england,2745,82,less than 40 USD,90
7,27,"Kendall-Jackson 'Jackson Estate' Pinot Noir, Anderson Valley",https://www.i-d-s.com/dubai/kendall-jackson-jackson-estate-pinot-noir-anderson-valley-us2074.html,usa,https://www.vivino.com/FR/en/wines/9286129,3.9,Kendall-Jackson Jackson Estate Pinot Noir 0,—,united-states,anderson-valley,894,82,less than 30 USD,90
8,7.8,Liberty Creek Cabernet Sauvignon Magnum (1.5L),https://www.i-d-s.com/dubai/liberty-creek-cabernet-sauvignon-magnum-1-5l-us2218.html,usa,https://www.vivino.com/FR/en/wines/1690389,3.3,Liberty Creek Cabernet Sauvignon 0,—,united-states,california,1956,82,less than 10 USD,90
9,26,Ironstone Vineyards Reserve Chardonnay,https://www.i-d-s.com/dubai/ironstone-vineyards-reserve-chardonnay-us1108.html,usa,https://www.vivino.com/FR/en/wines/4729661,3.6,Ironstone Reserve Chardonnay 0,—,united-states,sierra-foothills,791,82,less than 30 USD,90
0,8.3,Douglass Hill Shiraz,https://www.i-d-s.com/dubai/douglass-hill-shiraz-us1016.html,usa,https://www.vivino.com/FR/en/wines/4272616,3.4,Douglass Hill Winery Shiraz 0,—,united-states,california,146,82,less than 10 USD,90
